P1578,TVIDEO GIGABYTE GTX 1650 D6 WINDFORCE OC 4G HDMI DVI DP,TARJETA DE VIDEO,21,"$ 4,579.00 ",0
P1579,TVIDEO GIGABYTE GTX 1650 OC 4GB DDR6 HDMI DVI DP,TARJETA DE VIDEO,19,"$ 4,189.00 ",0
P1580,TVIDEO ASUS PH GTX1660 OC 6GB DDR5 HDMI DVI DP PH-GTX1660-O6G,TARJETA DE VIDEO,17,"$ 5,829.00 ",0
P1581,TVIDEO ASUS GT710 1GB DDR5 32BIT HDMI VGA GT710-SL-1GD5-BRK,TARJETA DE VIDEO,28,"$ 1,039.00 ",0
P1582,TVIDEO EVGA GTX 1650 SC ULTRA GAMING 4GB DDR6 HDMI DP,TARJETA DE VIDEO,16,"$ 4,639.00 ",0
P1583,TVIDEO PNY QUADRO P1000 V2 4GB DDR5 128BITS,TARJETA DE VIDEO,12,"$ 7,789.00 ",0
P1584,Fuente Acteck Edge Z600 600W ATX,FUENTE DE PODER,15,$ 509.00 ,0
P1585,Fuente Evga 750N1 750W Atx White,FUENTE DE PODER,6,"$ 1,759.00 ",0
P1586,"Fuente Poder Acteck Z-600, 20+4 pin ATX, 120mm, 600W, Negro",FUENTE DE PODER,18,471.00,0
P1587,"Fuente de Poder Cooler Master MWE GOLD 550 80 PLUS Gold, 24-pines ATX, 120mm, 550W",FUENTE DE PODER,5,2139.00,0
P1588,"Fuente de Poder Corsair CX450 80 PLUS Bronze, ATX, 120mm, 450W",FUENTE DE PODER,8,1859.00,0
P1589,"Fuente de Poder Acteck S 500, 20+4 pin Micro ATX, 80mm, 500W, Negro",FUENTE DE PODER,19,365.00,0
P1590,"Fuente de Poder Cooler Master MWE 450 80 PLUS Bronze, 20+4 pin ATX, 120mm, 450W",FUENTE DE PODER,15,1179.00,0
P1591,"Fuente de Poder Cooler Master MasterWatt 650W 80 PLUS Bronze, 24-pin ATX, 120mm, 650W",FUENTE DE PODER,13,1739.00,0
P1592,"Fuente de Poder Acteck Blazar R-500, 20+4 pin ATX, 500W, Negro",FUENTE DE PODER,22,320.00,0
P1593,"Fuente de Poder EVGA SuperNOVA 650 P2 80 PLUS Platinum, 20-pin ATX, 140mm, 650W",FUENTE DE PODER,9,4359.00,0
P1594,"uente de Poder EVGA SuperNOVA 850 P2 80 PLUS Platinum, 24-pin ATX, 140mm, 850W",FUENTE DE PODER,7,5969.00,0
P1595,"Fuente de Poder EVGA 650 GQ 80 PLUS Gold, ATX, 135mm, 650W",FUENTE DE PODER,13,2979.00,0
P1596,"Fuente de Poder Cooler Master MWE 750 80 PLUS Gold, 24-pin ATX, 120mm, 750W",FUENTE DE PODER,16,1989.00,0
P1597,Sistema de Enfriamiento Corsair Hydro H60 Led 120mm,REFRIGERACION,14,"$ 1,579.00 ",0
P1598,"Disipador CPU Cooler Master Hyper 212 RGB, 120mm, 650RPM - 2000RPM, Negro",REFRIGERACION,18,1779.00,0
P1599,"Disipador CPU BRobotix 952539-4, 95mm, 2600RPM, Negro",REFRIGERACION,25,166.00,0
